n,ProbD.ticks,
1,1,1
2,5,5
3,14,14
4,30,30
5,55,55
6,91,91
7,140,140
8,204,204
9,285,285
10,385,385
11,506,506
12,650,650
13,819,819
14,1015,1015
15,1240,1240
16,1496,1496
17,1785,1785
18,2109,2109
19,2470,2470
20,2870,2870
21,3311,3311
22,3795,3795
23,4324,4324
24,4900,4900
25,5525,5525
26,6201,6201
27,6930,6930
28,7714,7714
29,8555,8555
30,9455,9455
31,10416,10416
32,11440,11440
33,12529,12529
34,13685,13685
35,14910,14910
36,16206,16206
37,17575,17575
38,19019,19019
39,20540,20540
40,22140,22140
41,23821,23821
42,25585,25585
43,27434,27434
44,29370,29370
45,31395,31395
46,33511,33511
47,35720,35720
48,38024,38024
49,40425,40425
50,42925,42925
51,45526,45526
52,48230,48230
53,51039,51039
54,53955,53955
55,56980,56980
56,60116,60116
57,63365,63365
58,66729,66729
59,70210,70210
60,73810,73810
61,77531,77531
62,81375,81375
63,85344,85344
64,89440,89440
65,93665,93665
66,98021,98021
67,102510,102510
68,107134,107134
69,111895,111895
70,116795,116795
71,121836,121836
72,127020,127020
73,132349,132349
74,137825,137825
75,143450,143450
76,149226,149226
77,155155,155155
78,161239,161239
79,167480,167480
80,173880,173880
81,180441,180441
82,187165,187165
83,194054,194054
84,201110,201110
85,208335,208335
86,215731,215731
87,223300,223300
88,231044,231044
89,238965,238965
90,247065,247065
91,255346,255346
92,263810,263810
93,272459,272459
94,281295,281295
95,290320,290320
96,299536,299536
97,308945,308945
98,318549,318549
99,328350,328350
