n,heapsort.ticks
150000,16501528
180000,20125925
210000,23779480
240000,27464733
270000,31175350
300000,34956742
330000,38761544
360000,42582812
390000,46440130
420000,50290419
450000,54159248
480000,58048105
510000,61943505
540000,65885899
570000,69827981
600000,73820133
630000,77799883
660000,81824770
690000,85840813
720000,89862669
750000,93894616
780000,97948888
810000,101974779
840000,106053534
870000,110103741
900000,114173152
930000,118250462
960000,122324067
990000,126427064
1020000,130507394
1050000,134632032
1080000,138764997
1110000,142909963
1140000,147075426
1170000,151264905
1200000,155428114
1230000,159618020
1260000,163825438
1290000,168008867
1320000,172202828
1350000,176426057
1380000,180629400
1410000,184860152
