n,heapsort.time
150000,77
180000,96
210000,128
240000,158
270000,186
300000,221
330000,251
360000,351
390000,382
420000,434
450000,481
480000,530
510000,552
540000,528
570000,679
600000,716
630000,784
660000,822
690000,884
720000,943
750000,995
780000,1047
810000,1111
840000,988
870000,1252
900000,1093
930000,935
960000,1184
990000,1272
1020000,1324
1050000,1592
1080000,1386
1110000,1501
1140000,1456
1170000,1830
1200000,1585
1230000,1539
1260000,1647
1290000,2139
1320000,1581
1350000,1790
1380000,2257
1410000,2314
